date,original_18_no_rules,original_18_active,original_18_total_wealth,original_18_sign_changes,optimal_standard_no_rules,optimal_standard_active,optimal_standard_total_wealth,optimal_standard_sign_changes,optimal_ethical_no_rules,optimal_ethical_active,optimal_ethical_total_wealth,optimal_ethical_sign_changes,spy_benchmark
2010-08-27,97.58848516138312,97.58848516138312,97.58848516138312,0,100.0,100.0,100.0,0,98.9997478309845,98.9997478309845,98.9997478309845,0,95.1297651641657
2010-08-30,96.74768278573112,96.74768278573112,96.74768278573112,0,98.56066567283885,98.56066567283885,98.56066567283885,0,97.75012006249199,97.75012006249199,97.75012006249199,0,93.74987371313686
2010-08-31,96.60581395307733,96.60581395307733,96.60581395307733,0,98.10588844148897,98.10588844148897,98.10588844148897,0,97.06730321125573,97.06730321125573,97.06730321125573,0,93.74987371313686
2010-09-01,98.74944307888383,98.74944307888383,98.74944307888383,0,100.57197451771658,100.57197451771658,100.57197451771658,0,99.09167910523304,99.09167910523304,99.09167910523304,0,96.55410057052796
2010-09-02,99.46645180743602,99.46645180743602,99.46645180743602,0,101.37217504449553,101.37217504449553,101.37217504449553,0,99.96580539292269,99.96580539292269,99.96580539292269,0,97.4532449950712
2010-09-03,100.49000350251622,100.49000350251622,100.49000350251622,0,102.69268298707793,102.69268298707793,102.69268298707793,0,101.02181142946307,101.02181142946307,101.02181142946307,0,98.7173584540756
2010-09-07,99.92110009865263,99.92110009865263,99.92110009865263,0,102.60934205122156,102.60934205122156,102.60934205122156,0,100.93982650062937,100.93982650062937,100.93982650062937,0,97.60456371857802
2010-09-08,100.77716426923105,100.77716426923105,100.77716426923105,0,103.22284202143905,103.22284202143905,103.22284202143905,0,101.2147006425734,101.2147006425734,101.2147006425734,0,98.2900488116767
2010-09-09,100.95759275138744,100.95759275138744,100.95759275138744,0,103.59080207508912,103.59080207508912,103.59080207508912,0,101.77156738654526,101.77156738654526,101.77156738654526,0,98.74405008464828
2010-09-10,100.91442938113686,100.91442938113686,100.91442938113686,0,103.46801906450536,103.46801906450536,103.46801906450536,0,102.04418856550917,102.04418856550917,102.04418856550917,0,99.24259453834574
2010-09-13,102.58647944894992,102.58647944894992,102.58647944894992,0,105.07381696879726,105.07381696879726,105.07381696879726,0,103.11073743460278,103.11073743460278,103.11073743460278,0,100.34647702950205
2010-09-14,102.88879997031339,102.88879997031339,102.88879997031339,0,105.67316535142095,105.67316535142095,105.67316535142095,0,103.72743519190169,103.72743519190169,103.72743519190169,0,100.28417250352521
2010-09-15,103.23018913311735,103.23018913311735,103.23018913311735,0,105.21483224138937,105.21483224138937,105.21483224138937,0,103.74585928939325,103.74585928939325,103.74585928939325,0,100.66697504715911
2010-09-16,103.171271993293,103.171271993293,103.171271993293,0,105.42308380322199,105.42308380322199,105.42308380322199,0,103.94688483243156,103.94688483243156,103.94688483243156,0,100.6402292936451
2010-09-17,102.95220658897524,102.95220658897524,102.95220658897524,0,105.64210770714,105.64210770714,105.64210770714,0,103.93984001338896,103.93984001338896,103.93984001338896,0,100.677844737879
2010-09-20,104.57227023304885,104.57227023304885,104.57227023304885,0,107.14452066942478,107.14452066942478,107.14452066942478,0,104.99919463808874,104.99919463808874,104.99919463808874,0,102.21721845606733
2010-09-21,104.7768126292626,104.7768126292626,104.7768126292626,0,107.39936297476414,107.39936297476414,107.39936297476414,0,105.25530654293973,105.25530654293973,105.25530654293973,0,102.01138891013714
2010-09-22,104.54887949712979,104.54887949712979,104.54887949712979,0,106.30931196071904,106.30931196071904,106.30931196071904,0,103.97642439566944,103.97642439566944,103.97642439566944,0,101.5102104732943
2010-09-23,104.28247025721663,104.28247025721663,104.28247025721663,0,105.86253475129668,105.86253475129668,105.86253475129668,0,103.28136220411857,103.28136220411857,103.28136220411857,0,100.6868111051616
2010-09-24,106.07288705988645,106.07288705988645,106.07288705988645,0,108.29998972626788,108.29998972626788,108.29998972626788,0,105.11916959799272,105.11916959799272,105.11916959799272,0,102.76316558589167
