kelly_lookback,total_return_pct,sharpe_ratio,max_drawdown,num_trades,f_star_mean,f_star_positive,f_star_negative,sign_changes
60,1664.9739298614818,1.3564890855223728,-0.2781539768830581,229,639.7378481451324,24,9,12
75,1224.9311759388556,1.200108638046519,-0.278153976883058,229,817.0347478036227,24,9,13
90,1766.7720515155218,1.3743738057808865,-0.2781539768830581,229,938.0992926221583,26,7,10
105,2159.51485516837,1.4284528720239376,-0.278153976883058,229,1150.2308404355028,29,4,7
120,2295.9041930523176,1.4595579007935688,-0.2781539768830579,229,1299.5739896727416,29,4,5
126,2149.1258208539857,1.4480000667576303,-0.2781539768830581,229,1254.4619964517226,29,4,3
135,2344.340627285574,1.4744494288466394,-0.2781539768830579,229,1150.7260924142836,29,4,4
150,2386.401677816719,1.4944171415431118,-0.2781539768830579,229,1339.1980075413107,29,4,4
165,2465.3382008587378,1.4998659707189477,-0.2781539768830579,229,1538.2817945468237,29,4,4
180,2161.7470898603333,1.443261911437115,-0.2781539768830581,229,1711.3908877678184,30,3,5
200,2415.94555236007,1.4664816854308396,-0.2781539768830579,229,1848.2184037357729,31,2,2
252,2410.7741544331243,1.4693824590721996,-0.2781539768830579,229,2246.3185652731727,32,1,2
280,2150.2457650719753,1.4295662849946793,-0.2781539768830581,229,2242.651358697998,31,2,3
300,2297.790894846403,1.4612944253365483,-0.2781539768830579,229,2519.0154191977285,32,1,2
320,2296.2541449565733,1.467274507690401,-0.2781539768830579,229,2760.828134034656,31,2,3
340,2187.697591356069,1.4425749603475282,-0.2781539768830581,229,2734.7556703609966,31,2,2
360,2187.697591356069,1.4425749603475282,-0.2781539768830581,229,2806.8347858937545,31,2,2
380,2187.697591356069,1.4425749603475282,-0.2781539768830581,229,2855.2686026265774,31,2,2
400,2187.697591356069,1.4425749603475282,-0.2781539768830581,229,2855.2686026265774,31,2,2
420,2187.697591356069,1.4425749603475282,-0.2781539768830581,229,2855.2686026265774,31,2,2
440,2187.697591356069,1.4425749603475282,-0.2781539768830581,229,2855.2686026265774,31,2,2
460,2187.697591356069,1.4425749603475282,-0.2781539768830581,229,2855.2686026265774,31,2,2
480,2187.697591356069,1.4425749603475282,-0.2781539768830581,229,2855.2686026265774,31,2,2
504,2187.697591356069,1.4425749603475282,-0.2781539768830581,229,2855.2686026265774,31,2,2
