kelly_lookback,total_return_pct,sharpe_ratio,max_drawdown,num_trades,f_star_mean,f_star_positive,f_star_negative,sign_changes
60,904.2574069891285,1.0328600594765762,-0.28063985605654806,229,778.4825361157191,26,8,10
75,828.347527536698,0.9684970933384198,-0.28063985605654784,229,959.3023638593324,27,7,9
90,843.7713359671177,0.961777967088449,-0.28063985605654806,229,1046.3348966366173,28,6,8
105,853.1496056030231,0.9845614655250048,-0.28063985605654806,229,1163.066085512763,27,7,8
120,973.9116536831344,1.0378556946017254,-0.28063985605654806,229,1258.25286733795,28,6,6
126,973.9116536831344,1.0378556946017254,-0.28063985605654806,229,1283.1260153248877,28,6,6
135,960.4180708368763,1.019274842124266,-0.28063985605654806,229,1316.2684901260502,29,5,6
150,1068.983393578454,1.0553456213446815,-0.2853190784480073,231,1354.7891028082936,32,5,5
165,1072.465786245048,1.054619746308709,-0.2853190784480073,231,1479.7477523155926,33,4,4
180,960.4180708368763,1.019274842124266,-0.28063985605654806,229,1754.2997941982987,29,5,6
200,1072.465786245048,1.054619746308709,-0.2853190784480073,231,1766.5981519134002,33,4,4
252,994.6675115268218,1.0198383669274278,-0.2853190784480073,231,2178.1793455872084,32,5,4
280,963.4652184701883,0.9991278663725652,-0.2853190784480073,231,2273.0031524238843,33,4,2
300,905.3417938120232,0.9784762982086557,-0.2853190784480073,231,2356.040354576567,32,5,2
320,963.4652184701883,0.9991278663725652,-0.2853190784480073,231,2550.079045067877,33,4,2
340,963.4652184701883,0.9991278663725652,-0.2853190784480073,231,2664.571401562259,33,4,2
360,905.3417938120232,0.9784762982086557,-0.2853190784480073,231,2785.4825085648436,32,5,2
380,905.3417938120232,0.9784762982086557,-0.2853190784480073,231,3059.666062466954,32,5,2
400,883.2738059189688,0.9589642522881924,-0.2853190784480073,231,3143.3123350891656,33,4,2
420,883.2738059189688,0.9589642522881924,-0.2853190784480073,231,3115.5230599487654,33,4,2
440,883.2738059189688,0.9589642522881924,-0.2853190784480073,231,3115.5230599487654,33,4,2
460,883.2738059189688,0.9589642522881924,-0.2853190784480073,231,3115.5230599487654,33,4,2
480,883.2738059189688,0.9589642522881924,-0.2853190784480073,231,3115.5230599487654,33,4,2
504,883.2738059189688,0.9589642522881924,-0.2853190784480073,231,3115.5230599487654,33,4,2
